PlayerName,Salary,Age,Team,Games,Rebounds,Assists,Steals,Blocks,Turnovers,Points
Brandan Wright,5000000,27,TOT,75,321,41,50,94,34,544
Brandon Bass,6900000,29,BOS,82,398,104,41,32,83,866
Brandon Davies,816482,23,TOT,27,83,30,18,7,29,142
Brandon Jennings,8000000,25,DET,41,104,272,44,4,90,632
Brandon Knight,3553917,23,TOT,63,244,330,90,10,189,1070
Brandon Rush,1145685,29,GSW,33,41,12,5,12,11,30
Brendan Haywood,2213688,35,CLE,22,29,2,2,10,10,35
Brian Roberts,2732000,29,CHO,72,109,162,33,6,57,480
Brook Lopez,15719063,26,BRK,72,535,50,43,126,104,1236
Bruno Caboclo,1458360,19,TOR,8,2,0,0,1,4,10
Bryce Cotton,92514,22,UTA,15,18,15,4,0,12,80
C.J. McCollum,2421000,23,POR,62,91,64,43,8,48,424
C.J. Miles,4205000,27,IND,70,214,75,60,26,73,942
C.J. Watson,2106720,30,IND,57,163,208,57,9,100,570
C.J. Wilcox,1109760,24,LAC,21,7,8,3,1,10,41
Cameron Bairstow,507336,24,CHI,18,8,1,2,1,3,10
Carl Landry,6500000,31,SAC,70,268,26,15,17,54,503
Carlos Boozer,13550000,33,LAL,71,482,95,41,12,92,836
Carmelo Anthony,22458401,30,NYK,40,264,122,40,17,89,966
Caron Butler,4500000,34,DET,78,196,79,43,4,49,460
Cartier Martin,1145686,30,DET,23,20,11,3,1,5,36
Chandler Parsons,14700000,26,DAL,66,323,161,69,19,96,1037
Channing Frye,8579088,31,ORL,75,293,94,47,39,78,549
Charlie Villanueva,1316809,30,DAL,64,149,19,15,22,28,403
Chase Budinger,5000000,26,MIN,67,198,64,44,10,49,457
Chris Andersen,5375000,36,MIA,60,299,43,26,61,40,320
Chris Bosh,20644400,30,MIA,44,310,95,41,25,95,928
Chris Copeland,3135000,30,IND,50,111,51,11,11,59,309
Chris Douglas-Roberts,948163,28,LAC,12,12,4,1,0,0,19
Chris Johnson,948163,24,TOT,29,55,15,26,7,15,166
Chris Kaman,4800000,32,POR,74,484,65,18,54,108,638
Chris Paul,20068563,29,LAC,82,376,838,156,15,190,1564
Chuck Hayes,5958750,31,TOR,29,51,20,10,4,8,50
Cleanthony Early,507336,23,NYK,39,97,36,24,12,40,210
Clint Capela,1189200,20,HOU,12,36,2,1,9,5,32
Cody Zeller,4030560,22,CHO,62,362,100,34,49,62,472
Cole Aldrich,981084,26,NYK,61,338,75,37,65,59,338
Corey Brewer,4702500,28,TOT,80,297,173,114,19,131,917
Cory Jefferson,507336,24,BRK,50,145,16,10,21,20,183
Cory Joseph,2023261,23,SAS,79,192,188,46,17,67,535
Courtney Lee,5450000,29,MEM,77,178,151,75,12,78,777
D.J. Augustin,3000000,27,TOT,82,161,353,49,3,145,777
Dahntay Jones,613478,34,LAC,33,11,2,3,0,1,21
Damian Lillard,3340920,24,POR,82,378,507,97,21,222,1720
Damjan Rudez,1100000,28,IND,68,47,53,16,5,47,323
Danilo Gallinari,10854850,26,DEN,59,218,83,47,20,57,734
Danny Granger,2077000,31,MIA,30,80,17,13,6,24,188
Danny Green,4025000,27,SAS,81,343,158,101,87,93,946
Dante Cunningham,831942,27,NOP,66,256,50,46,37,35,340
Dante Exum,3615000,19,UTA,82,131,198,41,14,118,393
Darius Miller,400000,24,NOP,5,1,2,1,0,1,2
Darius Morris,702756,24,BRK,38,27,48,9,0,21,83
Darrell Arthur,3457149,26,DEN,58,171,57,48,26,47,382
Darren Collison,4797664,27,SAC,45,143,252,67,14,112,725
David Lee,15012000,31,GSW,49,257,85,31,26,49,388
David Stockton,29843,23,SAC,3,2,9,2,0,4,8
David Wear,29843,24,SAC,2,2,1,0,0,0,0
David West,12000000,34,IND,66,449,223,48,48,120,769
DeAndre Jordan,11440124,26,LAC,82,1226,61,81,183,109,946
DeJuan Blair,2000000,25,WAS,29,56,3,7,1,13,56
DeMar DeRozan,10100000,25,TOR,60,277,210,73,11,137,1204
DeMarcus Cousins,14746000,24,SAC,59,747,210,90,103,254,1421
DeMarre Carroll,2442455,28,ATL,70,372,118,94,17,75,883
Dennis Schroder,1690680,21,ATL,77,164,317,49,4,150,768
Deron Williams,19754465,30,BRK,68,237,448,64,17,154,884
Derrick Favors,12950000,23,UTA,74,607,112,60,123,121,1187
Derrick Rose,18862876,26,CHI,51,161,251,36,16,161,904
Derrick Williams,6331404,23,SAC,74,202,50,34,4,56,617
Devin Harris,3878896,31,DAL,76,135,237,78,14,85,665
Devyn Marble,884879,22,ORL,16,31,17,9,2,9,37
Dewayne Dedmon,816482,25,ORL,59,295,9,16,50,51,216
Dion Waiters,4062000,23,TOT,80,192,163,90,21,113,940
Dirk Nowitzki,7974482,36,DAL,77,457,143,39,33,82,1333
Donald Sloan,948163,27,IND,53,143,190,23,0,65,391
Donatas Motiejunas,1483920,24,HOU,71,421,130,56,34,123,855
Dorell Wright,3150000,29,POR,48,111,41,20,11,18,219
Doug McDermott,2277960,23,CHI,36,43,6,4,1,17,109
Draymond Green,915243,24,GSW,79,647,291,123,99,133,921
Drew Gooden,6680000,33,WAS,51,223,49,21,9,28,277
Drew Gordon,507336,24,PHI,9,18,2,1,0,8,17
Dwight Buycks,62437,25,LAL,6,12,14,3,0,12,52
Dwight Howard,21436271,29,HOU,41,431,50,28,53,115,646
Dwight Powell,507336,23,TOT,29,50,9,9,6,11,90
Dwyane Wade,15000000,33,MIA,62,219,299,73,21,209,1331
E'Twaun Moore,948163,25,CHI,56,46,33,20,6,14,149
Earl Barron,262057,33,PHO,16,28,5,4,2,5,32
Earl Clark,62552,27,BRK,10,23,3,3,4,6,27
Ed Davis,981084,25,LAL,79,600,94,49,98,58,656
Ekpe Udoh,981084,27,LAC,33,26,8,8,7,7,29
Elfrid Payton,2397840,20,ORL,82,349,533,142,20,203,731
